Interval_stimulus,Participant,RT,Session,date,key_resp.keys,key_resp.rt,Trial
4.262993041,AF18766,0.306335,2,2020-05-14_22h00.17.949,,,32
2.190937637,AF18766,0.37605,2,2020-05-14_22h00.17.949,,,33
6.824740788,AF18766,0.254275,2,2020-05-14_22h00.17.949,,,34
8.82669203,AF18766,0.270795,2,2020-05-14_22h00.17.949,,,35
4.244222876,AF18766,0.356035,2,2020-05-14_22h00.17.949,,,36
4.209842435,AF18766,0.348115,2,2020-05-14_22h00.17.949,,,37
6.000600132,AF18766,0.32666,2,2020-05-14_22h00.17.949,,,38
7.989362469,AF18766,0.271145,2,2020-05-14_22h00.17.949,,,39
5.851634438,AF18766,0.281845,2,2020-05-14_22h00.17.949,,,40
6.124738942,AJ98098,0.879,1,2020-06-19_17h25.05.998,,,0
7.487783658,AJ98098,0.438,1,2020-06-19_17h25.05.998,,,1
6.481138843,AJ98098,0.354,1,2020-06-19_17h25.05.998,,,2
7.135113283,AJ98098,0.425,1,2020-06-19_17h25.05.998,,,3
3.801407835,AJ98098,1.307,1,2020-06-19_17h25.05.998,,,4
4.805232618,AJ98098,0.363,1,2020-06-19_17h25.05.998,,,5
5.102330886,AJ98098,0.354,1,2020-06-19_17h25.05.998,,,6
6.699286525,AJ98098,0.392,1,2020-06-19_17h25.05.998,,,7
3.95448706,AJ98098,0.454,1,2020-06-19_17h25.05.998,,,8
9.18770825,AJ98098,0.39,1,2020-06-19_17h25.05.998,,,9
2.949736087,AJ98098,0.457,1,2020-06-19_17h25.05.998,,,10
3.429613134,AJ98098,0.439,1,2020-06-19_17h25.05.998,,,11
7.379278725,AJ98098,0.404,1,2020-06-19_17h25.05.998,,,12
8.826635212,AJ98098,0.519,1,2020-06-19_17h25.05.998,,,13
7.351875938,AJ98098,0.392,1,2020-06-19_17h25.05.998,,,14
4.68495453,AJ98098,0.401,1,2020-06-19_17h25.05.998,,,15
4.367321909,AJ98098,0.39,1,2020-06-19_17h25.05.998,,,16
2.887599347,AJ98098,0.439,1,2020-06-19_17h25.05.998,,,17
8.961192707,AJ98098,0.358,1,2020-06-19_17h25.05.998,,,18
4.792683487,AJ98098,0.421,1,2020-06-19_17h25.05.998,,,19
5.039802249,AJ98098,0.423,1,2020-06-19_17h25.05.998,,,20
6.552294942,AJ98098,0.424,1,2020-06-19_17h25.05.998,,,21
6.636186958,AJ98098,0.401,1,2020-06-19_17h25.05.998,,,22
9.232609316,AJ98098,0.425,1,2020-06-19_17h25.05.998,,,23
2.864774095,AJ98098,0.52,1,2020-06-19_17h25.05.998,,,24
2.202389522,AJ98098,0.435,1,2020-06-19_17h25.05.998,,,25
3.037301907,AJ98098,0.389,1,2020-06-19_17h25.05.998,,,26
7.545558223,AJ98098,0.391,1,2020-06-19_17h25.05.998,,,27
5.664162769,AJ98098,0.363,1,2020-06-19_17h25.05.998,,,28
8.907161678,AJ98098,0.358,1,2020-06-19_17h25.05.998,,,29
4.030135728,AJ98098,0.396,1,2020-06-19_17h25.05.998,,,30
7.140510019,AJ98098,0.357,1,2020-06-19_17h25.05.998,,,31
2.16610107,AJ98098,0.49,1,2020-06-19_17h25.05.998,,,32
8.517161576,AJ98098,0.367,1,2020-06-19_17h25.05.998,,,33
5.100265825,AJ98098,0.39,1,2020-06-19_17h25.05.998,,,34
9.549712525,AJ98098,0.423,1,2020-06-19_17h25.05.998,,,35
4.51597288,AJ98098,0.424,1,2020-06-19_17h25.05.998,,,36
7.285225179,AJ98098,0.427,1,2020-06-19_17h25.05.998,,,37
3.102926272,AJ98098,0.44,1,2020-06-19_17h25.05.998,,,38
2.641667509,AJ98098,0.389,1,2020-06-19_17h25.05.998,,,39
7.677278391,AJ98098,0.389,1,2020-06-19_17h25.05.998,,,40
