"","(Intercept)","Block2-1","Block3-2","Block4-3","Block5-4","Probability1","Session1","Session2","Block2-1:Probability1","Block3-2:Probability1","Block4-3:Probability1","Block5-4:Probability1","Block2-1:Session1","Block3-2:Session1","Block4-3:Session1","Block5-4:Session1","Block2-1:Session2","Block3-2:Session2","Block4-3:Session2","Block5-4:Session2","Probability1:Session1","Probability1:Session2","Block2-1:Probability1:Session1","Block3-2:Probability1:Session1","Block4-3:Probability1:Session1","Block5-4:Probability1:Session1","Block2-1:Probability1:Session2","Block3-2:Probability1:Session2","Block4-3:Probability1:Session2","Block5-4:Probability1:Session2"
"P021",-0.415179354179735,-0.486926085020207,1.06107650599467,-1.25391938993485,-0.734161906764173,-1.69431064856585,0.508997079485768,1.21526399094269,-0.505457883738738,0.479220565601524,-0.959976703677067,-1.99965903662714,-0.317866458607516,-0.528764379123822,-0.325085377537457,1.29645238503456,0.74635259871748,-0.129736849541994,-1.15715525488945,0.89683570794309,-0.703397830599421,-0.950325842698478,0.981144466387843,-0.785826411841953,1.52420454604277,-1.48691060962876,-0.0777562172106625,0.685328262196807,-1.97727895524099,1.50042962753704
"P022",0.380668206011034,0.878255719356166,0.513237348294515,0.0959313296204906,0.730392285435859,-0.19938526823175,0.044665164051517,-0.695055809878915,-1.37350895255543,0.463093734576311,1.08368539012629,-0.486866427647508,-0.559994186695448,0.288142887342263,0.351531874460171,-1.62650602458944,-0.722022627011994,0.117569798418432,1.90720573697082,-1.1241429726006,-1.077596708324,0.368518340058067,0.272319305736487,0.276157834896761,-1.25999496072524,0.179684052644716,-0.50155058505484,-1.77903791578115,1.56488670088869,-0.306492632734025
"P023",0.0193926974819398,-0.275258898655407,-1.57390065112345,0.33359708359328,0.319132383571681,-1.01628894146807,-0.721048212884417,0.567202610009998,-0.296843127623623,-1.49334129490317,1.18117725791509,1.12695348282935,-0.77786286209602,0.850312651972353,-0.848345765668155,0.0306865991091268,0.152830237337212,0.12215331408422,0.122747468372377,-0.116228807580447,0.433445579075123,0.459318386437493,-1.60336623538637,1.21719132661988,-0.338038858441337,-0.460919042355149,0.647431180883004,1.53508253197647,0.159061355776891,-0.665751779214931
"P024",1.15475774254895,0.406806249188257,-0.284900538998841,0.742595064317235,-0.104221832408024,-0.264616576504967,-0.305926454418288,0.551104184240085,0.35548788306249,-0.118782875205424,-0.612298678278338,0.954398920544711,1.05151387456285,-1.47173121762331,-0.179127814854868,-0.162613908545657,0.366109527856349,0.391116993308515,0.104717692736864,-0.293489055100861,0.24576219787935,0.0242871076822629,0.660374421859123,0.316522577163534,-1.45116338652236,-0.265200941148289,2.1778015396776,-0.411486619937663,-1.03854789383778,0.536211140447145
"P025",-0.790177975988532,-1.89525766045759,-0.99285112054046,1.11395507388476,-0.571737960607252,0.814752807790545,1.24889847715686,0.226246083068964,-0.79952753841393,2.13314866435085,0.650925579873616,-0.595245646082889,1.91379616356167,0.948458447370425,0.356531875696934,-2.03518963844577,-1.96400460707285,1.0395191635386,1.03807412869332,-0.575217776506112,0.160456177280961,-0.781340620346643,0.942983743231566,0.170173849771311,0.890603247410152,-1.39120617545427,0.580952288643171,-0.43634478315119,1.17002043820245,-0.458499543301039
"P026",1.6984109648853,0.266775555615322,-1.22963610619525,-0.128193003044779,-0.625988941536439,-0.430232203656463,-1.15025490692842,-0.193956612109952,0.675568947474376,-2.22565784366868,0.00688054884178899,1.93614533013628,1.14729968654985,0.108205272019545,-2.25261498348827,2.57359377491158,0.951916164289271,-0.938013071741939,-0.220969709699425,0.373820297326466,-2.29380174999195,0.193282635610334,1.17729182544315,-0.750101838907024,-1.08299713850205,0.353060882767734,1.88516764952403,-1.65577280884902,0.634294301777934,-0.298585326025806
"P027",-0.285628501214799,0.527027033100626,-1.10614704315237,0.934417409778249,0.350699759441633,-0.341264385247829,0.174864439724547,-0.244028663549874,0.986106518771507,-1.06041536712867,0.740634215647378,0.714462032917924,-0.878411647710092,-1.27865332738951,-2.30560019514585,2.78044668754025,1.16659552976451,-2.63323037895272,1.82911062514023,0.162791663799357,-0.567729845139408,-0.322566586918975,-0.277606137803349,-1.05883045614963,0.13583185478611,-0.346227803237118,0.220321037633909,-0.839952851566491,0.752684696994916,-0.69065917991861
"P028",2.36573259101525,-0.692863389413801,-0.308809846599364,-0.218501482064514,0.123801548995188,-2.69473136840036,-1.34377298551079,-0.440137173976427,0.0146002122573288,-0.732043487207154,-0.787915690034287,0.71654026649068,-0.823741931215323,-0.700674862905211,1.01434155676123,0.215009086804169,0.341465789719517,-0.984457721776063,0.145741187764522,0.448656000918143,1.28315802648811,-0.118370861541474,-1.36956651004088,0.582438061391216,1.00639998836196,-0.213978540560196,-0.363613782786748,0.0160237933632908,0.147181071780965,0.266143897105921
"P029",1.70410489714003,0.418083698672331,0.849139501186133,-1.87625237786672,0.584950372276416,-0.0798062787308831,-0.705550871801906,-0.222784715440928,-0.0110373832887886,-1.07093941255053,-0.216245294446869,0.665931583891104,0.722869602423916,0.257340047110655,-0.213290469051521,-0.591819255393591,-0.644818396966804,0.334320598392998,-0.695944730151351,1.28199035203048,-0.682373902835007,-1.35044109551427,0.196665014890929,-2.12644373850902,0.119953217091892,1.44144301981011,-0.263480577760447,-0.184060232245479,-0.129173698847154,0.284411604466122
"P030",0.498751349225163,-0.751792625620283,-0.330720649690854,-0.119401698407015,-0.831349075285169,0.301073644162032,1.52496044365933,-0.164743643976596,-0.155901073260976,-0.445782023185529,-0.479952879457383,-0.264763735682891,0.802061507241705,0.310095717086189,0.24754132262473,-0.0343699013653373,0.712636048378162,-0.917677764835966,1.22088926531412,-1.07531496093698,0.540199945211073,0.380658469453456,0.128995238666337,-0.145564145969155,0.860575907722464,0.00627977036414972,0.591965250250599,0.133761673604074,1.09275014210711,-0.831524044347473
"P031",-0.134063281815215,-0.125423866399163,0.524862878428798,1.29460913212462,-0.360170895192929,1.59218423539008,0.859678531569337,-0.596272430178447,-1.00966830125345,1.17240489150948,1.6091121120563,-1.73476996876706,0.729552923463871,-0.624138329269817,1.12250952192276,0.0152222355348006,-1.13453464260959,0.95772630309734,-0.608988131477129,0.308759999809344,1.20005710605193,-0.205382217919626,2.04646655152076,-0.65137809929052,0.498426858215974,-0.122588428934713,0.167612457696053,-1.01687459703632,1.47372175399261,-0.440782732788686
"P032",-1.3661815989644,0.445638078522593,-1.46859657567143,1.23821188627577,0.577791217400415,0.63245878022382,0.47960800563201,0.927223219502742,1.27552407384188,-1.30134637486108,1.77689011167681,-1.19806962910363,0.790006933492767,-0.485053956972022,-0.583605723313938,-0.310002017128847,2.0349671870224,-0.443447087298288,-1.35373343682119,0.420933536277723,0.101448159336294,0.98818857630593,0.230710400511706,1.21982278457102,-0.956073633704778,-0.0166551368062974,1.08493408790794,-0.39773661344723,-0.778059052246476,0.720304968641507
"P033",-0.562963140220014,0.424709113082415,-0.408048633151333,0.128993149411095,-0.726692041813349,0.26308293490163,0.0879931704445268,0.0237549824679698,1.03257583768778,-0.846971949643811,0.653110651669726,-1.23888278024672,0.302225450401692,0.48944497544288,0.1189450816041,-0.143653611163476,0.871790359118074,-0.476273397673195,-0.772249323094254,0.73953753575622,-0.931749239156474,-0.968894165527966,-1.10338551772282,1.51341231786923,-1.26032883298876,1.37988638296042,0.569998040868388,-0.131858979307695,-1.51447913772,0.83044161873509
